instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,day,month,year,atemp,hum,windspeed,casual,registered,cnt
1,01-01-2011,0,0,1,0,FALSE,6,0,0.5307268992457574,1,1,2011,1.116736407376943,1.4120355072499704,-1.683162187,-0.237798226,-0.810274764,-0.803031935
2,01-01-2011,0,0,1,1,FALSE,6,0,0.2845341931317559,1,1,2011,0.9237690629509284,1.35498923534968,-1.683162187,0.5539971764249141,-0.405870126,-0.315982986
3,01-01-2011,0,0,1,2,FALSE,6,0,0.2845341931317559,1,1,2011,0.9237690629509284,1.35498923534968,-1.683162187,0.0789199351608125,-0.512292399,-0.478332636
4,01-01-2011,0,0,1,3,FALSE,6,0,0.5307268992457574,1,1,2011,1.116736407376943,1.069757875848229,-1.683162187,-0.237798226,-0.874128128,-0.863913054
5,01-01-2011,0,0,1,4,FALSE,6,0,0.5307268992457574,1,1,2011,1.116736407376943,1.069757875848229,-1.683162187,-0.712875467,-1.06568822,-1.107437529
6,01-01-2011,0,0,1,5,FALSE,6,1,0.5307268992457574,1,1,2011,0.7320712405277162,1.069757875848229,-0.946962002,-0.712875467,-1.06568822,-1.107437529
7,01-01-2011,0,0,1,6,FALSE,6,0,0.2845341931317559,1,1,2011,0.9237690629509284,1.35498923534968,-1.683162187,-0.396157306,-1.086972675,-1.087143822
8,01-01-2011,0,0,1,7,FALSE,6,0,0.0383414870177544,1,1,2011,0.7320712405277162,1.697266866751421,-1.683162187,-0.554516387,-1.044403766,-1.066850116
9,01-01-2011,0,0,1,8,FALSE,6,0,0.5307268992457574,1,1,2011,,1.069757875848229,-1.683162187,-0.554516387,-0.937981492,-0.965381585
10,01-01-2011,0,0,1,9,FALSE,6,0,1.5154977237017642,1,1,2011,1.8860667410753968,1.1268041477485191,-1.683162187,0.5539971764249141,-0.959265947,-0.843619348
11,01-01-2011,0,0,1,10,FALSE,6,0,2.2540758420437697,1,1,2011,2.462429730347836,1.1268041477485191,0.401368916197016,1.187433498110383,-0.576145763,-0.397157811
12,01-01-2011,0,0,1,11,FALSE,6,0,2.0078831359297675,1,1,2011,1.693099396649382,1.4120355072499704,0.6470428617608774,3.404460624009524,-0.448439035,0.0087163131613221
13,01-01-2011,0,0,1,12,FALSE,6,0,2.746461254271773,1,1,2011,2.8470948971970635,1.183850419648809,0.6470428617608774,3.879537865273625,0.0836723316269951,0.5769400871894925
14,01-01-2011,0,0,1,13,FALSE,6,1,3.2388466664997764,1,1,2011,3.2317600640462905,0.898619060147358,0.7694690085468815,6.730001312858235,-0.086603306,0.7798771493424106
15,01-01-2011,0,0,1,14,FALSE,6,1,3.2388466664997764,1,1,2011,3.2317600640462905,0.898619060147358,0.6470428617608774,4.829692347801829,0.4242236063056742,1.0234016239259125
16,01-01-2011,0,0,1,15,FALSE,6,1,2.9926539603857742,1,1,2011,3.0400622416230783,1.183850419648809,0.7694690085468815,5.621487749908664,0.4029391516382567,1.1045764487870795
17,01-01-2011,0,0,1,16,FALSE,6,1,2.746461254271773,1,1,2011,2.8470948971970635,1.46908177915026,0.7694690085468815,5.779846830330031,0.0198189676247428,0.7595834431271188
18,01-01-2011,0,0,1,17,FALSE,6,1,2.9926539603857742,1,1,2011,,1.46908177915026,0.6470428617608774,1.662510739374485,0.0198189676247428,0.2319470815295319
19,01-01-2011,0,0,1,18,FALSE,6,2,2.746461254271773,1,1,2011,2.8470948971970635,1.8113594105520012,0.401368916197016,0.7123562568462813,-0.533576854,-0.417451517
20,01-01-2011,0,0,1,19,FALSE,6,2,2.746461254271773,1,1,2011,2.8470948971970635,1.8113594105520012,0.401368916197016,0.2372790155821797,-0.42715458,-0.376864105
21,01-01-2011,0,0,1,20,FALSE,6,1,2.5002685481577718,1,1,2011,2.655397074773852,1.7543131386517112,0.401368916197016,1.0290744176890156,-0.554861308,-0.397157811
22,01-01-2011,0,0,1,21,FALSE,6,1,2.5002685481577718,1,1,2011,2.655397074773852,1.7543131386517112,-0.089157323,-0.237798226,-0.42715458,-0.437745224
23,01-01-2011,0,0,1,22,FALSE,6,1,2.5002685481577718,1,1,2011,2.655397074773852,2.1536370419537425,0.1565166226250073,1.0290744176890156,-0.725136946,-0.559507461
24,01-01-2011,0,0,1,23,FALSE,6,1,3.2388466664997764,1,1,2011,,1.8113594105520012,0.7694690085468815,1.662510739374485,-0.576145763,-0.336276692
25,02-01-2011,0,0,1,0,FALSE,0,1,3.2388466664997764,2,1,2011,3.2317600640462905,1.8113594105520012,0.7694690085468815,-0.079439145,-0.810274764,-0.782738229
26,02-01-2011,0,0,1,1,FALSE,0,1,2.9926539603857742,2,1,2011,3.0400622416230783,2.1536370419537425,0.401368916197016,-0.554516387,-0.7464214,-0.782738229
27,02-01-2011,0,0,1,2,FALSE,0,1,2.746461254271773,2,1,2011,2.8470948971970635,2.495914673355484,0.6470428617608774,-0.554516387,-0.916697038,-0.945087879
28,02-01-2011,0,0,1,3,FALSE,0,1,3.2388466664997764,2,1,2011,3.2317600640462905,2.1536370419537425,-0.089157323,-0.396157306,-1.001834856,-1.005968998
29,02-01-2011,0,0,1,4,FALSE,0,1,3.2388466664997764,2,1,2011,,2.1536370419537425,-0.089157323,-0.396157306,-1.06568822,-1.066850116
30,02-01-2011,0,0,1,6,FALSE,0,2,2.746461254271773,2,1,2011,2.8470948971970635,1.183850419648809,0.7694690085468815,-0.712875467,-1.044403766,-1.087143822
31,02-01-2011,0,0,1,7,FALSE,0,1,2.5002685481577718,2,1,2011,2.655397074773852,1.1268041477485191,-0.089157323,-0.712875467,-1.06568822,-1.107437529
32,02-01-2011,0,0,1,8,FALSE,0,2,2.5002685481577718,2,1,2011,2.655397074773852,0.8415727882470678,0.1565166226250073,-0.712875467,-0.916697038,-0.965381585
33,02-01-2011,0,0,1,9,FALSE,0,1,2.2540758420437697,2,1,2011,,1.1268041477485191,0.1565166226250073,-0.554516387,-0.682568036,-0.721857111
34,02-01-2011,0,0,1,10,FALSE,0,1,2.0078831359297675,2,1,2011,1.8860667410753968,1.4120355072499704,0.1565166226250073,0.3956380960035469,-0.10788776,-0.052164805
35,02-01-2011,0,0,1,11,FALSE,0,1,2.0078831359297675,2,1,2011,1.693099396649382,0.8415727882470678,0.401368916197016,1.820869819795852,0.0623878769595777,0.2928282001754073
36,02-01-2011,0,0,1,12,FALSE,0,1,2.0078831359297675,2,1,2011,1.693099396649382,0.5563414287456172,0.7694690085468815,2.4543061414813208,0.466792515640509,0.7595834431271188
37,02-01-2011,0,0,1,13,FALSE,0,1,2.0078831359297675,2,1,2011,1.8860667410753968,0.5563414287456172,-0.579683562,1.0290744176890156,0.2752324236337521,0.3942967312518664
38,02-01-2011,0,0,1,14,FALSE,0,2,2.0078831359297675,2,1,2011,,1.1268041477485191,-0.089157323,-0.079439145,0.0836723316269951,0.0695974318071975
39,02-01-2011,0,0,1,15,FALSE,0,2,1.761690429815766,2,1,2011,1.693099396649382,1.4120355072499704,-0.334009617,2.295947061059953,0.0836723316269951,0.3740030250365745
40,02-01-2011,0,0,1,16,FALSE,0,2,1.761690429815766,2,1,2011,1.693099396649382,0.8415727882470678,-0.334009617,0.7123562568462813,0.3390857876360044,0.4145904374671582
41,02-01-2011,0,0,1,17,FALSE,0,0,1.761690429815766,2,1,2011,1.693099396649382,0.0429249816430048,-0.089157323,0.3956380960035469,0.1475256956292474,0.1913596690989483
42,02-01-2011,0,0,1,18,FALSE,0,1,2.0078831359297675,2,1,2011,1.693099396649382,-0.584584009,1.015142954110743,0.8707153372676485,-0.171741124,-0.052164805
43,02-01-2011,0,0,1,19,FALSE,0,0,1.5154977237017642,2,1,2011,1.116736407376943,-0.812769097,1.9961954323824824,-0.554516387,-0.46972349,-0.518920048
